"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","5/39","88/8020",0.0568181818181818,11.6841491841492,7.04455690508241,6.08755175475242e-05,0.00393023010358143,0.00310281323966955,"6347/7010/3569/7099/284",5
"Cellular Processes","Cellular community - eukaryotes","hsa04520","Adherens junction","5/39","92/8020",0.0543478260869565,11.1761426978818,6.86213149843019,7.53418223350379e-05,0.00393023010358143,0.00310281323966955,"10398/54922/5787/7048/1003",5
"Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","4/39","48/8020",0.0833333333333333,17.1367521367521,7.83820931225965,7.9666826423948e-05,0.00393023010358143,0.00310281323966955,"6347/3569/7099/5175",4
"Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","5/39","107/8020",0.0467289719626168,9.60939372154325,6.26697020711723,0.000154443926901168,0.00566770546899488,0.00447450431762754,"2034/7010/3569/7099/284",5
"Organismal Systems","Immune system","hsa04670","Leukocyte transendothelial migration","5/39","112/8020",0.0446428571428571,9.18040293040293,6.09416391780051,0.000191476536114692,0.00566770546899488,0.00447450431762754,"10398/90952/1003/7122/5175",5
"Environmental Information Processing","Signal transduction","hsa04068","FoxO signaling pathway","5/39","127/8020",0.0393700787401575,8.09610337169392,5.63461824684053,0.000344092465002919,0.00774491302764262,0.00611440502182312,"847/10365/3569/7048/1901",5
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","6/39","200/8020",0.03,6.16923076923077,5.17489207624581,0.000366313454010124,0.00774491302764262,0.00611440502182312,"6347/335/3949/5468/3569/7099",6
"Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","5/39","137/8020",0.0364963503649635,7.50514692120531,5.3682827821097,0.000488019268763165,0.00902835647211856,0.00712764984640939,"5155/6347/10365/1003/5175",5
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","5/39","155/8020",0.032258064516129,6.63358147229115,4.95067959398103,0.000856204011906343,0.0140797993069043,0.0111156310317666,"90952/947/1003/7122/5175",5
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","7/39","337/8020",0.0207715133531157,4.27147531005098,4.28900878412085,0.00104535996294947,0.0154713274516522,0.0122142058828833,"5155/7010/2791/3569/7099/2247/284",7
"Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","4/39","101/8020",0.0396039603960396,8.14419903528814,5.05059815351935,0.001389575330506,0.018696104446808,0.0147600824580063,"6347/3569/7099/7048",4
"Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","5/39","189/8020",0.0264550264550265,5.44023877357211,4.31809676064938,0.00207062717053035,0.0255377351032077,0.0201613698183219,"5468/3569/2313/2078/7048",5
