"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","14/31","157/8020",0.089171974522293,23.0696527635093,17.3958611122293,1.34649275463809e-16,6.46316522226283e-15,4.67729062137442e-15,"4171/10403/4173/7272/991/891/890/1029/1111/9232/5347/699/983/9212",14
"Cellular Processes","Cell growth and death","hsa04114","Oocyte meiosis","7/31","126/8020",0.0555555555555556,14.3727598566308,9.42437373742862,3.84209129916484e-07,9.22101911799562e-06,6.67310594065472e-06,"6790/991/891/9232/5347/699/983",7
"Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","7/31","154/8020",0.0454545454545455,11.7595307917889,8.39791481889459,1.49971212796011e-06,1.96952519845139e-05,1.42531428835298e-05,"4605/2305/891/890/1029/1111/983",7
"Organismal Systems","Endocrine system","hsa04914","Progesterone-mediated oocyte maturation","6/31","98/8020",0.0612244897959184,15.8393680052666,9.20673763121398,1.64127099870949e-06,1.96952519845139e-05,1.42531428835298e-05,"6790/891/890/5347/699/983",6
"Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","5/31","75/8020",0.0666666666666667,17.247311827957,8.80561999824698,8.78468380627846e-06,8.43329645402732e-05,6.10304348646714e-05,"891/1029/1111/983/6241",5
"Genetic Information Processing","Replication and repair","hsa03030","DNA replication","3/31","36/8020",0.0833333333333333,21.5591397849462,7.70088554503414,0.000342511166449018,0.00274008933159214,0.00198295938470484,"4171/4173/5984",3
"Cellular Processes","Cell motility","hsa04814","Motor proteins","5/31","192/8020",0.0260416666666667,6.7372311827957,5.0121296808847,0.000764260816259051,0.00524064559720492,0.00379257247166146,"10112/9493/3832/11004/3833",5
"Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","5/31","198/8020",0.0252525252525253,6.53307266210492,4.91060278670655,0.000878360938595231,0.00527016563157138,0.00381393565442666,"991/890/1029/1111/983",5
"Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","5/31","217/8020",0.0230414746543779,5.96105247510034,4.61495666512193,0.00132481637525107,0.00706568733467239,0.00511332636061818,"991/890/1029/1111/9232",5
"Human Diseases","Drug resistance: antineoplastic","hsa01524","Platinum drug resistance","3/31","72/8020",0.0416666666666667,10.7795698924731,5.19220483093441,0.00260418644257955,0.0125000949243818,0.00904612132685528,"332/7153/1029",3
